ID,Name,Category,Subcollection,Collection_Line,Era,Status,Price,Material,Main_Image,Hover_Image,Extra_Views,Type,Color,Fit,Weight,Season,Technique,Motif,Story
plo-84,Spring Bouquet,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-84-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-85,Red Fire,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-85-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-86,Mosaic Garden,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-86-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-87,Meadow,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-87-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-88,Citrus Circles,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-88-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-89,Polka Sun,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-89-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-90,Orange Grid,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-90-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-91,Autumn Weave,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-91-view-1.jpg,,images/plo/plo-92-view-1.jpg,Pillow,,,,,Hand-painted,,
plo-93,Pastel Bloom,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-93-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-94,Coral Bloom,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-94-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-95,Ocean Mist,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-95-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-96,Pink Marble,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-96-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-97,Flower Patch,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-97-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-98,Garden Party,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-98-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-99,Persian Bloom,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-99-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-100,Rose Mandala,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-100-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-101,Abstract Bloom,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-101-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-102,Wild Garden,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-102-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-103,Spring Medley,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-103-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-104,Pink Patchwork,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-104-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-105,Green Wave,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-105-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-106,Pink Galaxy,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-106-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-107,Sunspot,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-107-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-108,Pink Abstract,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-108-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-22,Roses de Brume,pillows,,,,available,,,images/plo/plo-22-view-1.jpg,,images/plo/plo-23-view-1.jpg|images/plo/plo-25-view-1.jpg,,Blue,,,,,Floral,
